title,price,normalizedPrice,formattedAddress,lat,lng
"Офис, 2500 м²",1200,14 400 ₽ в год за м²,"Иркутск, улица Октябрьской Революции, 1к7А",52.293245,104.294746
"Торговая площадь, 166.46 м²",1000,1 000 ₽ в месяц за м²,"Иркутск, улица Октябрьской Революции, 1к7А",52.293245,104.294746
"Торговая площадь в мебельном центре, 50 м²",1200,24 ₽ в месяц за м²,"Иркутск, улица Октябрьской Революции, 1к7А",52.293245,104.294746
"Свободного назначения, 29 м²",800,800 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 33",52.287282,104.29877
"Универсальное помещение, 37 кв.м",25000,676 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 22А",52.290265,104.29771
"Общепит, 200.7 м²",1150,1 150 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 65/1",52.294005,104.29409
"Свободного назначения, 321.1 м²",256880,800 ₽ в месяц за м²,"Иркутск, улица Тимирязева, 18",52.280167,104.295959
Офис,15000,1 250 ₽ в месяц за м²,"Иркутск, улица Тимирязева, 26",52.28266907,104.2979965
"Свободного назначения, 11 м²",7095,645 ₽ в месяц за м²,"Иркутск, улица Тимирязева, 30",52.283137,104.298258
"Офисы, помещения свободного назначения от 10 до 70",1500,1 800 ₽ в год за м²,"Иркутск, улица Тимирязева, 32",52.283302,104.298366
"Свободного назначения, 200 м²",300000,1 500 ₽ в месяц за м²,"Иркутск, улица Тимирязева, 32",52.283302,104.298366
"Торговая площадь для автомобильных товаров, 20 м²",3400,3 400 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 65",52.29413448777635,104.2942033156421
"Офис, 39 м²,42 м 2",1200,14 400 ₽ в год за м²,"Иркутск, улица Декабрьских Событий, 47Б",52.288396668827815,104.29897950259607
"Помещение под косметологию, массаж",18000,900 ₽ в месяц за м²,"Иркутск, улица Франк-Каменецкого, 28/3",52.289347060479955,104.29874531628303
"Офис, 158 м²",1500,18 000 ₽ в год за м²,"Иркутск, улица Декабрьских Событий, 47Б",52.2885428048059,104.299118812497
"Свободного назначения, 30 м²",3733,3 733 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 65",52.294501650541704,104.29418990206909
Сдам помещение в аренду 40 м²,60000,1 500 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Тимирязева, 38",52.283886,104.299157
"Земельный участок для Вашего павильона, 10 м²",2500,2 500 ₽ в месяц за м²,"Иркутск, улица Октябрьской Революции, 1/3",52.29506269411285,104.29326318579821
"Офис, 36 м²",59400,19 800 ₽ в год за м²,"Иркутск, улица Коммунаров, 1А",52.276001,104.289158
"Офис, Помещение, Другое 190 м²",800,800 ₽ в месяц за м²,"Иркутск, улица Франк-Каменецкого, 28/5",52.289724022445895,104.29881847576644
"Торговая площадь, 32 м²",55000,1 719 ₽ в месяц за м²,"Иркутск, улица 3 Июля, 3",52.275412,104.287029
"Сдается коммерческая, 116.1 кв.м., 1/6 эт",400000,3 445 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Красного Восстания, 24",52.275087,104.285547
"Свободного назначения, 200.1 м²",500250,2 500 ₽ в месяц за м²,"Иркутск, улица Красного Восстания, 24",52.275087,104.285547
"Свободного назначения, 57 м²",34782,610 ₽ в месяц за м²,"Иркутск, улица Декабрьских Событий, 60Е",52.286861,104.299803
"Свободного назначения, 117 м²",128700,1 100 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 65/3",52.29471,104.294467
"Офис, 36 м²",28300,786 ₽ в месяц за м²,"Иркутск, улица Франк-Каменецкого, 19",52.2899323591344,104.299438255674
"Офис, 10.1 м²",10000,11 881 ₽ в год за м²,"Иркутск, улица Франк-Каменецкого, 19",52.289891,104.299543
"Склад, 10 м²",5500,6 600 ₽ в год за м²,"ул Франк-Каменецкого, 19",52.289891,104.299543
"Торгово-складское помещение, 40 м²",20000,6 000 ₽ в год за м²,"Иркутск, улица Франк-Каменецкого, 19",52.289891,104.299543
"Свободного назначения, 160 м²",1000,1 000 ₽ в месяц за м²,"Иркутск, улица Софьи Перовской, 17",52.279869,104.297279
"Торговая площадь, 29.7 м²",1620,1 620 ₽ в месяц за м²,"Иркутск, улица Октябрьской Революции, 1к20",52.29567937817412,104.29336991268922
Отдельные офисы,9500,11 400 ₽ в год за м²,"Иркутск, улица Красного Восстания, 20",52.274453,104.28464
"Свободного назначения, 109 м²",100000,917 ₽ в месяц за м²,"Иркутск, улица Красного Восстания, 20",52.274453,104.28464
"Свободного назначения, 22м2 мокрая точка",45000,2 045 ₽ в месяц за м²,"Иркутск, улица 3 Июля, 7",52.27495956,104.2875519
Офисные помещения в Центре города,12000,889 ₽ в месяц за м²,"ул Декабрьских Событий, 55",52.287852,104.300468
"Торговая площадь, 15 м²",1457,1 457 ₽ в месяц за м²,"Иркутск, Байкальская улица, 9",52.280459,104.298141
"Торговая площадь, 21.86 м²",2310,2 310 ₽ в месяц за м²,"Иркутск, Рабочая улица, 18Д",52.295311,104.294593
"Свободного назначения, 222.17 м²",850,850 ₽ в месяц за м²,"Иркутск, Рабочая улица, 18Д",52.295311,104.294593
"Свободного назначения, 80 м²",205000,2 563 ₽ в месяц за м²,"Иркутск, улица Красного Восстания, 22",52.274392,104.2857
"Свободного назначения, 17.8 м²",24000,1 348 ₽ в месяц за м²,"Иркутск, улица Седова, 14",52.274949,104.28888
"Офис, 35 м²",33250,11 400 ₽ в год за м²,"Иркутск, улица Декабрьских Событий, 57",52.287599,104.300953
"Свободного назначения, 36.7 м²",35000,954 ₽ в месяц за м²,"Иркутск, улица Седова, 14",52.27493668,104.2888794
Офис,27550,11 400 ₽ в год за м²,"Иркутск, улица Декабрьских Событий, 57",52.28744015933488,104.3010411187976
Рабочее место мастер маникюра/педикюра/бровист/виз,7500,441 ₽ в месяц за м²,"Иркутск, улица Декабрьских Событий, 57",52.28748516615262,104.30106658066578
"Здание, 4951.9 м²",1560000,315 ₽ в месяц за м²,"Иркутск, улица 3 Июля, 11/1",52.274596,104.288224
"Свободного назначения, 20 м²",75000,3 750 ₽ в месяц за м²,"Иркутск, улица 3 Июля, 15",52.2744082468405,104.288170532624
Свободного назначения,700,700 ₽ в месяц за м²,"Иркутск, улица Коммунаров, 14/1",52.27548218,104.2917099
